[DEBUG | mv_done_card.py:7] 2018-04-09 02:24:56,126 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:24:56,126 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:25:48,700 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:25:48,700 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:26:00,520 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:26:00,520 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:26:37,851 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:26:37,851 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:26:44,531 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:26:44,531 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:27:56,184 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:27:56,184 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:33:59,974 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:33:59,974 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:34:43,386 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:34:43,386 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:37:23,809 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:37:23,809 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:38:41,912 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:38:41,912 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:41:34,060 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:41:34,061 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:46:10,339 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:46:10,339 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:53:32,938 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:53:32,938 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:53:59,769 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:53:59,769 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:54:27,787 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:54:27,788 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:58:44,168 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:58:44,168 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:00:14,932 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:00:14,932 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:00:30,828 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:00:30,828 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:00:49,968 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:00:49,968 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:01:18,345 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:01:18,345 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:02:27,697 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:02:27,697 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:03:06,716 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:03:06,716 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:03:24,643 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:03:24,643 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 03:09:25,250 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 03:09:25,252 >> Start moving done-list cards to archive-list
